,二氧化硅(SiO2),氧化钠(Na2O),氧化钾(K2O),氧化钙(CaO),氧化镁(MgO),氧化铝(Al2O3),氧化铁(Fe2O3),氧化铜(CuO),氧化铅(PbO),氧化钡(BaO),五氧化二磷(P2O5),氧化锶(SrO),氧化锡(SnO2),二氧化硫(SO2)
二氧化硅(SiO2),1.0,0.36503809175497265,0.08392506577615921,-0.49750318899837204,0.06554361249336293,0.3880626753433679,0.07727738484243171,-0.3597993648941036,-0.7460943568611458,-0.4342757899814396,-0.5572912335909794,-0.5232546880496829,0.07806709504981227,-0.39697129538018694
氧化钠(Na2O),0.36503809175497265,1.0,-0.06129633640951975,-0.37064859014545565,0.02098401065896055,0.09392435325350068,-0.24682391523576555,-0.05800528991376989,-0.3469959742412391,-0.05878950271941171,-0.3926317151687975,-0.09144238609775845,-0.08419991638911012,-0.1293354695035808
氧化钾(K2O),0.08392506577615921,-0.06129633640951975,1.0,0.07802906020218218,0.2546120347644993,0.30802469478284666,0.25432593400450987,-0.1301530992033234,-0.1501763207574649,-0.021262045600054187,-0.096790341781838,-0.13118637295067503,0.19044002533149926,0.004873020627866297
氧化钙(CaO),-0.49750318899837204,-0.37064859014545565,0.07802906020218218,1.0,0.4357533101235426,0.12587688183731016,0.38267768241831673,-0.06910780495178512,0.38014372092529647,-0.12942925859001575,0.5414382837734094,0.1777813468655365,0.20096726642024054,0.0925605051576177
氧化镁(MgO),0.06554361249336293,0.02098401065896055,0.2546120347644993,0.4357533101235426,1.0,0.43706167746886104,0.2965928241782864,-0.30559857999203777,-0.011784233503167263,-0.4488045137871926,0.2896010158072206,0.09808977606745288,0.2380334733816764,-0.26420874524287224
氧化铝(Al2O3),0.3880626753433679,0.09392435325350068,0.30802469478284666,0.12587688183731016,0.43706167746886104,1.0,0.23476754303792374,-0.2773010217493882,-0.4433184092493562,-0.3318395921881335,-0.060234006628280004,-0.16442231284141862,0.4665068371096551,-0.2116838998408053
氧化铁(Fe2O3),0.07727738484243171,-0.24682391523576555,0.25432593400450987,0.38267768241831673,0.2965928241782864,0.23476754303792374,1.0,-0.23663332850049065,-0.0476159719712229,-0.2797177869475744,0.16488099188666927,-0.08748720731575728,0.22243337798638724,-0.18051285223341218
氧化铜(CuO),-0.3597993648941036,-0.05800528991376989,-0.1301530992033234,-0.06910780495178512,-0.30559857999203777,-0.2773010217493882,-0.23663332850049065,1.0,-0.09207353254837411,0.7113218276229969,0.0975054334564173,0.18320973256707251,-0.18535739043294813,0.23350571720207497
氧化铅(PbO),-0.7460943568611458,-0.3469959742412391,-0.1501763207574649,0.38014372092529647,-0.011784233503167263,-0.4433184092493562,-0.0476159719712229,-0.09207353254837411,1.0,-0.1392921937911471,0.34226524103196204,0.423451043627001,-0.12781734477782222,-0.07567208017001208
氧化钡(BaO),-0.4342757899814396,-0.05878950271941171,-0.021262045600054187,-0.12942925859001575,-0.4488045137871926,-0.3318395921881335,-0.2797177869475744,0.7113218276229969,-0.1392921937911471,1.0,-0.0136654485009103,0.14234237172601164,-0.08027401987635487,0.6165906442482771
五氧化二磷(P2O5),-0.5572912335909794,-0.3926317151687975,-0.096790341781838,0.5414382837734094,0.2896010158072206,-0.060234006628280004,0.16488099188666927,0.0975054334564173,0.34226524103196204,-0.0136654485009103,1.0,0.2823453037236558,-0.08039135514138902,0.1612614935095292
氧化锶(SrO),-0.5232546880496829,-0.09144238609775845,-0.13118637295067503,0.1777813468655365,0.09808977606745288,-0.16442231284141862,-0.08748720731575728,0.18320973256707251,0.423451043627001,0.14234237172601164,0.2823453037236558,1.0,-0.03915294458726912,0.17104196568236235
氧化锡(SnO2),0.07806709504981227,-0.08419991638911012,0.19044002533149926,0.20096726642024054,0.2380334733816764,0.4665068371096551,0.22243337798638724,-0.18535739043294813,-0.12781734477782222,-0.08027401987635487,-0.08039135514138902,-0.03915294458726912,1.0,-0.07125654980361222
二氧化硫(SO2),-0.39697129538018694,-0.1293354695035808,0.004873020627866297,0.0925605051576177,-0.26420874524287224,-0.2116838998408053,-0.18051285223341218,0.23350571720207497,-0.07567208017001208,0.6165906442482771,0.1612614935095292,0.17104196568236235,-0.07125654980361222,1.0
