,SiO2,Na2O,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5,SrO,SnO2,SO2
SiO2,1.0,-0.6759491935778842,-0.841506312735723,-0.6430727385356545,-0.5194558914592162,-0.6079188129051416,-0.6394564593662196,-0.25873252408599223,-0.29440785963955446,0.0010395997295044306,-0.2873384089713653,-0.220871451322153,0.05076153087827696,-0.37289781890735346
Na2O,-0.6759491935778842,1.0,0.5686767147316986,0.31130172069420065,-0.09428433669984128,0.32789618300244305,0.1237692822519045,-0.08484414286923014,0.4426248224383555,-0.16939962153370458,-0.23134787724413755,-0.1291028551428981,-0.16939962153370464,-0.3126735788757137
K2O,-0.841506312735723,0.5686767147316986,1.0,0.7314051757126709,0.3912349384935161,0.6542382799369022,0.39628776165283763,0.11184817416843945,0.14573364786395415,-0.29536562168690045,0.2707163216069599,0.4614954568259901,0.16947207801707406,0.38980833861353226
CaO,-0.6430727385356545,0.31130172069420065,0.7314051757126709,1.0,0.23519489171947314,0.885508418372096,0.6351572970430734,0.47239202554472,0.33374663141420857,0.09128878385271842,0.3154260978068884,0.14191115130709522,-0.2625961313294246,0.4795439431971561
MgO,-0.5194558914592162,-0.09428433669984128,0.3912349384935161,0.23519489171947314,1.0,0.4417890874315027,0.4152952773484095,-0.04382036185451653,0.12780155525176412,0.22932641929000103,0.4533948148525576,0.5393796758746741,0.36571239527062516,0.5859627056375415
Al2O3,-0.6079188129051416,0.32789618300244305,0.6542382799369022,0.885508418372096,0.4417890874315027,1.0,0.538635062327707,0.258053219762149,0.5520389934509017,0.2215761635407468,0.3147624272554289,0.2506850556137985,-0.09085679902695223,0.38253020827719275
Fe2O3,-0.6394564593662196,0.1237692822519045,0.39628776165283763,0.6351572970430734,0.4152952773484095,0.538635062327707,1.0,0.7640665333407481,0.06855662981590763,0.36644207191570316,0.6077518241400804,0.0035614121509442306,-0.2750853226846414,0.5781642919859181
CuO,-0.25873252408599223,-0.08484414286923014,0.11184817416843945,0.47239202554472,-0.04382036185451653,0.258053219762149,0.7640665333407481,1.0,-0.14333426724872608,0.2658363152087181,0.6056044548289472,-0.17860506496583986,-0.37236541499043674,0.4404533918442794
PbO,-0.29440785963955446,0.4426248224383555,0.14573364786395415,0.33374663141420857,0.12780155525176412,0.5520389934509017,0.06855662981590763,-0.14333426724872608,1.0,0.47225100020991595,-0.0889338483283447,-0.17851717039834988,-0.11394108693970818,-0.21030960466071058
BaO,0.0010395997295044306,-0.16939962153370458,-0.29536562168690045,0.09128878385271842,0.22932641929000103,0.2215761635407468,0.36644207191570316,0.2658363152087181,0.47225100020991595,1.0,0.3040435027110385,-0.12049466828100619,-0.06666666666666667,-0.12305166369119372
P2O5,-0.2873384089713653,-0.23134787724413755,0.2707163216069599,0.3154260978068884,0.4533948148525576,0.3147624272554289,0.6077518241400804,0.6056044548289472,-0.0889338483283447,0.3040435027110385,1.0,0.3388416757348119,0.4495925212700627,0.4261082661554398
SrO,-0.220871451322153,-0.1291028551428981,0.4614954568259901,0.14191115130709522,0.5393796758746741,0.2506850556137985,0.0035614121509442306,-0.17860506496583986,-0.17851717039834988,-0.12049466828100619,0.3388416757348119,1.0,0.6733525580409169,0.2614396952174871
SnO2,0.05076153087827696,-0.16939962153370464,0.16947207801707406,-0.2625961313294246,0.36571239527062516,-0.09085679902695223,-0.2750853226846414,-0.37236541499043674,-0.11394108693970818,-0.06666666666666667,0.4495925212700627,0.6733525580409169,1.0,-0.12305166369119369
SO2,-0.37289781890735346,-0.3126735788757137,0.38980833861353226,0.4795439431971561,0.5859627056375415,0.38253020827719275,0.5781642919859181,0.4404533918442794,-0.21030960466071058,-0.12305166369119372,0.4261082661554398,0.2614396952174871,-0.12305166369119369,1.0
