文物采样点,SiO2,Na2O,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5,SrO,SnO2,SO2,文物编号,采样类型,纹饰,类型,颜色,表面风化,成分总和,有效数据,SiO2_norm,Na2O_norm,K2O_norm,CaO_norm,MgO_norm,Al2O3_norm,Fe2O3_norm,CuO_norm,PbO_norm,BaO_norm,P2O5_norm,SrO_norm,SnO2_norm,SO2_norm
01,69.33,0.0,9.99,6.32,0.87,3.93,1.74,3.87,0.0,0.0,1.17,0.0,0.0,0.39,01,普通采样,C,高钾,蓝绿,无风化,97.61,True,71.02755865177748,0.0,10.23460710992726,6.474746439913943,0.8913021206843561,4.026226821022436,1.7826042413687122,3.9647577092511015,0.0,0.0,1.1986476795410306,0.0,0.0,0.3995492265136769
02,36.28,0.0,1.05,2.34,1.18,5.73,1.86,0.26,47.43,0.0,3.57,0.19,0.0,0.0,02,普通采样,A,铅钡,浅蓝,风化,99.88999999999999,True,36.31995194714186,0.0,1.0511562718990892,2.34257683451797,1.1812994293723096,5.73630994093503,1.8620482530783866,0.2602863149464411,47.48223045349885,0.0,3.5739313244569026,0.1902092301531685,0.0,0.0
03部位1,87.05,0.0,5.19,2.01,0.0,4.06,0.0,0.78,0.25,0.0,0.66,0.0,0.0,0.0,03,部位采样,A,高钾,蓝绿,无风化,100.0,True,87.05,0.0,5.19,2.01,0.0,4.06,0.0,0.78,0.25,0.0,0.66,0.0,0.0,0.0
03部位2,61.71,0.0,12.37,5.87,1.11,5.5,2.16,5.09,1.41,2.86,0.7,0.1,0.0,0.0,03,部位采样,A,高钾,蓝绿,无风化,98.88,True,62.40898058252428,0.0,12.510113268608414,5.936488673139159,1.1225728155339807,5.562297734627832,2.1844660194174756,5.147653721682848,1.4259708737864079,2.8923948220064726,0.7079288025889968,0.10113268608414241,0.0,0.0
04,65.88,0.0,9.67,7.12,1.56,6.44,2.06,2.18,0.0,0.0,0.79,0.0,0.0,0.36,04,普通采样,A,高钾,蓝绿,无风化,96.05999999999999,True,68.58213616489695,0.0,10.066625026025402,7.41203414532584,1.6239850093691448,6.704143243805956,2.144493025192588,2.269414948990215,0.0,0.0,0.8224026650010412,0.0,0.0,0.3747657713928795
05,61.58,0.0,10.95,7.35,1.77,7.5,2.62,3.27,0.0,0.0,0.94,0.06,0.0,0.47,05,普通采样,A,高钾,蓝绿,无风化,96.50999999999999,True,63.80685939280903,0.0,11.345974510413429,7.615791109729562,1.834006838669568,7.77121541809139,2.7147445860532593,3.388249922287846,0.0,0.0,0.9739923324007875,0.06216972334473112,0.0,0.48699616620039377
06部位1,67.65,0.0,7.37,0.0,1.98,11.15,2.39,2.51,0.2,1.38,4.18,0.11,0.0,0.0,06,部位采样,A,高钾,蓝绿,无风化,98.92,True,68.3885968459361,0.0,7.450465022240193,0.0,2.0016174686615447,11.271734735139507,2.41609381318237,2.5374039627982206,0.20218358269308534,1.3950667205822886,4.225636878285482,0.11120097048119691,0.0,0.0
06部位2,59.81,0.0,7.68,5.41,1.73,10.05,6.04,2.18,0.35,0.97,4.5,0.12,0.0,0.0,06,部位采样,A,高钾,蓝绿,无风化,98.84,True,60.51193848644274,0.0,7.770133549170375,5.47349251315257,1.7503035208417645,10.167948199109672,6.110886280857953,2.205584783488466,0.35410764872521244,0.981384055038446,4.552812626467017,0.12140833670578711,0.0,0.0
07,92.63,0.0,0.0,1.07,0.0,1.98,0.17,3.24,0.0,0.0,0.61,0.0,0.0,0.0,07,普通采样,B,高钾,蓝绿,风化,99.69999999999999,True,92.90872617853562,0.0,0.0,1.073219658976931,0.0,1.9859578736208627,0.17051153460381147,3.2497492477432304,0.0,0.0,0.6118355065195588,0.0,0.0,0.0
08,20.14,0.0,0.0,1.48,0.0,1.34,0.0,10.41,28.68,31.23,3.59,0.37,0.0,2.58,08,普通采样,C,铅钡,紫,风化,99.82000000000001,True,20.176317371268283,0.0,0.0,1.4826688038469242,0.0,1.342416349428972,0.0,10.428771789220596,28.73171709076337,31.28631536766179,3.596473652574634,0.37066720096173106,0.0,2.584652374273692
